epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,37526.5,1.25417,1.24504,1.49529,0.77824,0.62609,0.70977,0.39344,1.43553,1.21179,1.61198,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,37952.8,1.24984,1.21849,1.49139,0.78096,0.62421,0.70965,0.39329,1.43626,1.21064,1.61308,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,38379.8,1.25186,1.22322,1.49254,0.78204,0.62328,0.70949,0.39328,1.43659,1.20911,1.61347,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,38808.7,1.24261,1.21413,1.48371,0.78346,0.62232,0.70934,0.39281,1.43737,1.20796,1.61424,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,39237.1,1.24029,1.21237,1.48275,0.78349,0.62216,0.70968,0.39277,1.43755,1.20671,1.61444,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,39673.7,1.23901,1.21374,1.48587,0.78414,0.62272,0.70939,0.39286,1.43831,1.20429,1.6152,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,40060.3,1.20587,0.97183,1.47501,0.78557,0.62238,0.70921,0.39301,1.43893,1.20398,1.6159,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,40444.3,1.19361,0.95317,1.46798,0.78094,0.62457,0.7095,0.39294,1.43889,1.2044,1.61617,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,40829.8,1.1884,0.94798,1.468,0.78207,0.62458,0.70941,0.39214,1.43904,1.2042,1.61638,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,41214.8,1.18636,0.93469,1.46332,0.78255,0.6245,0.70922,0.39226,1.43913,1.20359,1.61664,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,41601.4,1.18064,0.93353,1.45993,0.78371,0.624,0.7092,0.39236,1.43926,1.20361,1.61694,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,41988.6,1.17991,0.9262,1.45963,0.78516,0.62362,0.70894,0.39221,1.43942,1.20344,1.61721,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
